state,city,address,postal_code,phone_number,latitude,longitude
Alabama,Athens,1289 US Highway 72 E,35611,(256) 867-2327,34.78535934639692,-86.94589462768734
Alabama,Auburn,346 W Magnolia Ave,36832,(334) 821-7740,32.606812966051244,-85.48732833164195
Alabama,Birmingham,300 20th St S,35233,(205) 326-8572,33.509721495414745,-86.80275567068401
Alabama,Birmingham,3220 Morrow Rd,35235,(205) 655-3734,33.59558141391436,-86.64743684970284
Alabama,Birmingham,4719 Highway 280,35242,(205) 991-4846,33.42258214624579,-86.69827946502971
Alabama,Birmingham,5342 Highway 280,35242,(659) 272-0321,33.4190918,-86.6744839
Alabama,Cullman,1821 Cherokee Ave SW,35055,(256) 727-5348,34.154133767344916,-86.84122007667406
Alabama,Daphne,914 Van Ave,36526,(251) 426-7633,30.597490456498328,-87.89898115761713
Alabama,Decatur,1109 Beltline Rd SE,35601,(256) 280-3833,34.5614662,-86.9756546
Alabama,Dothan,3473 Ross Clark Drive,36303,(334) 340-1105,31.24643258273472,-85.42845362334822
Alabama,Florence,311 Cox Creek Pkwy,35630,(256) 956-4670,34.8367631,-87.6315278
Alabama,Foley,2862 S. McKenzie Street,36536,(251) 943-2500,30.372761,-87.683311
Alabama,Gardendale,616 Gayle St,35071,(659) 246-1040,33.651179,-86.825568
Alabama,Homewood,273 Lakeshore Pkwy,35209,(205) 203-1062,33.44560101843525,-86.82538206989966
Alabama,Hoover,1051 Amber Dr,35244,(205) 203-1028,33.3785141,-86.82327269999999
Alabama,Hoover,1759 Montgomery Hwy,35244,(205) 982-4833,33.37895802956859,-86.80380210088629
Alabama,Huntsville,5900 University Dr NW,35806,(256) 895-7761,34.7423160647275,-86.66577473182507
Alabama,Madison,101 Outfield Dr,35758,(256) 617-5312,34.684399,-86.717916
Alabama,Madison,8294 Highway 72 W,35758,(256) 929-6632,34.750647294909975,-86.7611874285552
Alabama,Mobile,3871 Airport Blvd,36608,(251) 206-6548,30.675337809949887,-88.143753929995
Alabama,Mobile,7765 Airport Blvd,36608,(251) 639-9241,30.682695916631477,-88.22501248665195
Alabama,Montgomery,2560 Berryhill Rd,36117,(334) 450-2888,32.35917687650774,-86.16225285227608
Alabama,Opelika,2125 Interstate Dr,36801,(334) 737-0056,32.616808752194316,-85.40447876717928
Alabama,Oxford,30 Commons Way,36203,(256) 848-1007,33.608458514136515,-85.7867789298938
