state,city,address,zip_code,name,phone,latitude,longitude,url,country
Alabama,Athens,1289 US Highway 72 E,35611,Chipotle Athens AL,(256) 867-2327,34.78535934639692,-86.94589462768734,https://locations.chipotle.com/../al/athens/1289-us-highway-72-e,USA
Alabama,Auburn,346 W Magnolia Ave,36832,Chipotle Auburn Campus,(334) 821-7740,32.606812966051244,-85.48732833164195,https://locations.chipotle.com/../al/auburn/346-w-magnolia-ave,USA
Alabama,Birmingham,300 20th St S,35233,Chipotle UAB Birmingham,(205) 326-8572,33.509721495414745,-86.80275567068401,https://locations.chipotle.com/../al/birmingham/300-20th-st-s,USA
Alabama,Birmingham,3220 Morrow Rd,35235,Chipotle Trussville,(205) 655-3734,33.59558141391436,-86.64743684970284,https://locations.chipotle.com/../al/birmingham/3220-morrow-rd,USA
Alabama,Birmingham,4719 Highway 280,35242,Chipotle Inverness,(205) 991-4846,33.42258214624579,-86.69827946502971,https://locations.chipotle.com/../al/birmingham/4719-highway-280,USA
Alabama,Birmingham,5342 Highway 280,35242,Chipotle Cahaba Point,(659) 272-0321,33.4190918,-86.6744839,https://locations.chipotle.com/../al/birmingham/5342-highway-280,USA
Alabama,Cullman,1821 Cherokee Ave SW,35055,Chipotle Cullman,(256) 727-5348,34.154133767344916,-86.84122007667406,https://locations.chipotle.com/../al/cullman/1821-cherokee-ave-sw,USA
Alabama,Daphne,914 Van Ave,36526,Chipotle Daphne,(251) 426-7633,30.597490456498328,-87.89898115761713,https://locations.chipotle.com/../al/daphne/914-van-ave,USA
Alabama,Decatur,1109 Beltline Rd SE,35601,Chipotle Decatur AL,(256) 280-3833,34.5614662,-86.9756546,https://locations.chipotle.com/../al/decatur/1109-beltline-rd-se,USA
Alabama,Dothan,3473 Ross Clark Drive,36303,Chipotle Dothan,(334) 340-1105,31.24643258273472,-85.42845362334822,https://locations.chipotle.com/../al/dothan/3473-ross-clark-drive,USA
Alabama,Florence,311 Cox Creek Pkwy,35630,Chipotle Florence AL,(256) 956-4670,34.8367631,-87.6315278,https://locations.chipotle.com/../al/florence/311-cox-creek-pkwy,USA
Alabama,Foley,2862 S. McKenzie Street,36536,Chipotle Foley,(251) 943-2500,30.372761,-87.683311,https://locations.chipotle.com/../al/foley/2862-s-mckenzie-street,USA
Alabama,Gardendale,616 Gayle St,35071,Chipotle Gardendale,(659) 246-1040,33.651179,-86.825568,https://locations.chipotle.com/../al/gardendale/616-gayle-st,USA
Alabama,Homewood,273 Lakeshore Pkwy,35209,Chipotle Lakeshore,(205) 203-1062,33.44560101843525,-86.82538206989966,https://locations.chipotle.com/../al/homewood/273-lakeshore-pkwy,USA
Alabama,Hoover,1051 Amber Dr,35244,Chipotle Stadium Trace,(205) 203-1028,33.3785141,-86.82327269999999,https://locations.chipotle.com/../al/hoover/1051-amber-dr,USA
Alabama,Hoover,1759 Montgomery Hwy,35244,Chipotle Riverchase,(205) 982-4833,33.37895802956859,-86.80380210088629,https://locations.chipotle.com/../al/hoover/1759-montgomery-hwy,USA
Alabama,Huntsville,5900 University Dr NW,35806,Chipotle Huntsville University Drive,(256) 895-7761,34.7423160647275,-86.66577473182507,https://locations.chipotle.com/../al/huntsville/5900-university-dr-nw,USA
Alabama,Madison,101 Outfield Dr,35758,Chipotle Town Madison,(256) 617-5312,34.684399,-86.717916,https://locations.chipotle.com/../al/madison/101-outfield-dr,USA
Alabama,Madison,8294 Highway 72 W,35758,Chipotle Clift Farms,(256) 929-6632,34.750647294909975,-86.7611874285552,https://locations.chipotle.com/../al/madison/8294-highway-72-w,USA
Alabama,Mobile,3871 Airport Blvd,36608,Chipotle Mobile,(251) 206-6548,30.675337809949887,-88.143753929995,https://locations.chipotle.com/../al/mobile/3871-airport-blvd,USA
Alabama,Mobile,7765 Airport Blvd,36608,Chipotle Westwood Plaza,(251) 639-9241,30.682695916631477,-88.22501248665195,https://locations.chipotle.com/../al/mobile/7765-airport-blvd,USA
Alabama,Montgomery,2560 Berryhill Rd,36117,Chipotle Montgomery Eastchase,(334) 450-2888,32.35917687650774,-86.16225285227608,https://locations.chipotle.com/../al/montgomery/2560-berryhill-rd,USA
Alabama,Opelika,2125 Interstate Dr,36801,Chipotle Tiger Town Auburn,(334) 737-0056,32.616808752194316,-85.40447876717928,https://locations.chipotle.com/../al/opelika/2125-interstate-dr,USA
Alabama,Oxford,30 Commons Way,36203,Chipotle Oxford,(256) 848-1007,33.608458514136515,-85.7867789298938,https://locations.chipotle.com/../al/oxford/30-commons-way,USA
Alabama,Prattville,2566 Cobbs Ford Rd,36066,Chipotle Prattville AL,(334) 285-0040,32.459169,-86.391343,https://locations.chipotle.com/../al/prattville/2566-cobbs-ford-rd,USA
Alabama,Tuscaloosa,1203 University Blvd,35401,Chipotle BAMA Campus,(205) 391-2121,33.21066866513092,-87.55362088910408,https://locations.chipotle.com/../al/tuscaloosa/1203-university-blvd,USA
Alabama,Tuscaloosa,1800 McFarland Blvd E,35404,Chipotle Bama (University of Alabama),(205) 391-0140,33.19676916228953,-87.52703202203561,https://locations.chipotle.com/../al/tuscaloosa/1800-mcfarland-blvd-e,USA
Alabama,Vestavia Hills,1031 Montgomery Hwy,35216,Chipotle Vestavia Hills,(205) 823-1053,33.439069161673594,-86.78828456747647,https://locations.chipotle.com/../al/vestavia-hills/1031-montgomery-hwy,USA
Arizona,Avondale,9925 W McDowell Rd,85392,Chipotle 99th & McDowell,(623) 907-1122,33.464389688565106,-112.27317616931153,https://locations.chipotle.com/../az/avondale/9925-w-mcdowell-rd,USA
Arizona,Buckeye,944 S Watson Rd,85326,Chipotle Sundance Town Center,(623) 691-6919,33.43822778341178,-112.55837977052872,https://locations.chipotle.com/../az/buckeye/944-s-watson-rd,USA
Arizona,Casa Grande,1775 E Florence Blvd,85122,Chipotle Casa Grande,(520) 421-4457,32.8791300574308,-111.71123532758008,https://locations.chipotle.com/../az/casa-grande/1775-e-florence-blvd,USA
Arizona,Cave Creek,5355 E Carefree Hwy,85331,Chipotle Cave Creek,(602) 325-3394,33.798760042857715,-111.96635746382505,https://locations.chipotle.com/../az/cave-creek/5355-e-carefree-hwy,USA
Arizona,Chandler,1055 W Chandler Blvd,85224,Chipotle Alma School and Chandler,(602) 742-3574,33.30549462745462,-111.86011763369193,https://locations.chipotle.com/../az/chandler/1055-w-chandler-blvd,USA
Arizona,Chandler,2895 S Alma School Rd,85286,Chipotle Alma School & Queen Creek,(480) 786-1122,33.2639222376452,-111.85726059752221,https://locations.chipotle.com/../az/chandler/2895-s-alma-school-rd,USA
Arizona,Chandler,3395 W Chandler Blvd,85226,Chipotle Chandler Boulevard Shops,(480) 499-2884,33.30528109389568,-111.89998219286281,https://locations.chipotle.com/../az/chandler/3395-w-chandler-blvd,USA
Arizona,Chandler,890 N 54th St,85226,Chipotle Chandler Pavilions,(480) 783-0200,33.317420390822654,-111.96882761900793,https://locations.chipotle.com/../az/chandler/890-n-54th-st,USA
Arizona,Flagstaff,1111 S Plaza Way,86001,Chipotle Flagstaff,(928) 774-4254,35.18986,-111.661643,https://locations.chipotle.com/../az/flagstaff/1111-s-plaza-way,USA
Arizona,Flagstaff,4409 N US Highway 89,86004,Chipotle Flagstaff North,(928) 433-3844,35.22332797052031,-111.58526951285657,https://locations.chipotle.com/../az/flagstaff/4409-n-us-highway-89,USA
Arizona,Gilbert,1084 S Gilbert Rd,85296,Chipotle Gilbert Town Square,(480) 892-8307,33.32988022270755,-111.79089592376448,https://locations.chipotle.com/../az/gilbert/1084-s-gilbert-rd,USA
